Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,22p,
"C2, C5",0805,2,0.1u,
C6,0603,1,1u,
C7,0805,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",D_MiniMELF,21,~,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_SK6812MINI-E_PLCC4_3.2x2.8mm_P1.75mm,21,SK6812MINI,
R1,0402,1,10k,
"R2, R3",0402,2,5.1k,
"R4, R5",0402,2,22,
SW1,MX-Hotswap-1U,1,SW_A,
SW10,MX-Hotswap-1U,1,SW_8,
SW11,MX-Hotswap-1U,1,SW_9,
SW12,MX-Hotswap-2U-Vertical-ReversedStabilizers,1,SW_ADD,
SW13,MX-Hotswap-1U,1,SW_4,
SW14,MX-Hotswap-1U,1,SW_5,
SW15,MX-Hotswap-1U,1,SW_6,
SW16,MX-Hotswap-1U,1,SW_1,
SW17,MX-Hotswap-1U,1,SW_2,
SW18,MX-Hotswap-1U,1,SW_3,
SW19,MX-Hotswap-2U-Vertical-ReversedStabilizers,1,SW_ENTER,
SW2,MX-Hotswap-1U,1,SW_B,
SW20,MX-Hotswap-2U,1,SW_0,
SW21,MX-Hotswap-1U,1,SW_DOT,
SW22,0603,1,RESET,
SW3,MX-Hotswap-1U,1,SW_C,
SW4,MX-Hotswap-1U,1,SW_D,
SW5,MX-Hotswap-1U,1,SW_NL,
SW6,MX-Hotswap-1U,1,SW_DIV,
SW7,MX-Hotswap-1U,1,SW_MUL,
SW8,MX-Hotswap-1U,1,SW_SUB,
SW9,MX-Hotswap-1U,1,SW_7,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ATmega32U2-M,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
