Designator,Mid X,Mid Y,Rotation,Layer
C1,102.43375,-120.4802,180.0,bottom
C2,70.25685,-35.7225,180.0,bottom
C3,102.1993,-126.43395,180.0,bottom
C5,62.8716,-35.2436,90.0,bottom
C6,94.7837,-103.3571,90.0,bottom
C7,102.4071,-105.7386,180.0,bottom
D1,46.299998,-45.3,90.0,bottom
D10,65.349998,-88.1625,90.0,bottom
D11,84.399998,-88.1625,90.0,bottom
D12,96.60595,-99.0704,180.0,bottom
D13,46.299998,-107.2125,90.0,bottom
D14,65.349998,-107.2125,90.0,bottom
D15,84.399998,-107.2125,90.0,bottom
D16,46.299998,-126.2625,90.0,bottom
D17,65.349998,-126.2625,90.0,bottom
D18,84.399998,-126.2625,90.0,bottom
D19,103.449998,-135.7875,90.0,bottom
D2,65.349998,-45.3,90.0,bottom
D20,55.824998,-145.3125,90.0,bottom
D21,84.399998,-145.3125,90.0,bottom
D3,84.399998,-45.3,90.0,bottom
D4,103.449998,-45.3,90.0,bottom
D5,46.299998,-69.1125,90.0,bottom
D6,65.349998,-69.1125,90.0,bottom
D7,84.399998,-69.1125,90.0,bottom
D8,103.449998,-69.1125,90.0,bottom
D9,46.299998,-88.1625,90.0,bottom
J1,66.675,-28.575,180.0,bottom
LED1,38.1,-32.6,0.0,bottom
LED10,57.15,-75.4625,0.0,bottom
LED11,76.2,-75.4625,0.0,bottom
LED12,95.25,-84.9875,0.0,bottom
LED13,38.1,-94.5125,0.0,bottom
LED14,57.15,-94.5125,0.0,bottom
LED15,76.2,-94.5125,0.0,bottom
LED16,38.1,-113.5625,0.0,bottom
LED17,57.15,-113.5625,0.0,bottom
LED18,76.2,-113.5625,0.0,bottom
LED19,95.25,-123.0875,0.0,bottom
LED2,57.15,-32.6,0.0,bottom
LED20,47.625,-132.6125,0.0,bottom
LED21,76.2,-132.6125,0.0,bottom
LED3,76.2,-32.6,0.0,bottom
LED4,95.25,-32.6,0.0,bottom
LED5,38.1,-56.4125,0.0,bottom
LED6,57.15,-56.4125,0.0,bottom
LED7,76.2,-56.4125,0.0,bottom
LED8,95.25,-56.4125,0.0,bottom
LED9,38.1,-75.4625,0.0,bottom
R1,92.64035,-105.2623,270.0,bottom
R2,67.6275,-28.575,90.0,top
R3,65.7225,-28.575,90.0,top
R4,65.96755,-35.04175,270.0,bottom
R5,67.39645,-35.04175,270.0,bottom
SW1,38.1,-38.1,180.0,top
SW10,57.15,-80.9625,180.0,top
SW11,76.2,-80.9625,180.0,top
SW12,95.25,-90.4875,180.0,top
SW13,38.1,-100.0125,180.0,top
SW14,57.15,-100.0125,180.0,top
SW15,76.2,-100.0125,180.0,top
SW16,38.1,-119.0625,180.0,top
SW17,57.15,-119.0625,180.0,top
SW18,76.2,-119.0625,180.0,top
SW19,95.25,-128.5875,180.0,top
SW2,57.15,-38.1,180.0,top
SW20,47.625,-138.1125,180.0,top
SW21,76.2,-138.1125,180.0,top
SW3,76.2,-38.1,180.0,top
SW4,95.25,-38.1,180.0,top
SW5,38.1,-61.9125,180.0,top
SW6,57.15,-61.9125,180.0,top
SW7,76.2,-61.9125,180.0,top
SW8,95.25,-61.9125,180.0,top
SW9,38.1,-80.9625,180.0,top
U2,96.39475,-108.7516,90.0,bottom
Y1,102.3019,-123.4854,270.0,bottom
